Title,Company's Name,Location,Duration,Stipend
Fundraising,Pawzz,Work from home,2 Weeks,"₹ 1,500 - 10,000 lump sum"
Business Analytics,Snapmint Credit Advisory Private Limited,Bangalore,2 Months,"₹ 30,000 - 40,000 "
Large Language Model (LLM),Renan Partners,Work from home,6 Months,"₹ 5,000 "
Digital Marketing,DR. SKILL OUTREACH PRIVATE LIMITED,"Ahmedabad, Gandhinagar",6 Months,"₹ 7,000 "
Data Analytics,Kkonnect.io,Bangalore,3 Months,"₹ 10,000 - 15,000 "
Data Analytics,Deepnexus S,Work from home,3 Months,"₹ 3,000 - 7,000 "
Email Marketing Manager,Lawtech,Work from home,3 Months,"₹ 6,000 - 8,000 "
Gujarati Speaker,Graveiens Eduservices Private Limited,Work from home,3 Months,"₹ 10,000 - 20,000 "
Digital Marketing,BEOM Commerce Private Limited,Gurgaon,3 Months,"₹ 10,000 - 20,000 "
Artificial Intelligence (AI),Jivichem Synthesis Private Limited,Work from home,1 Month,"₹ 22,000 "
Data Science,Jivichem Synthesis Private Limited,Work from home,1 Month,"₹ 22,000 "
Norcet + NCLEX Exam Content Curation,Lawtech,Work from home,3 Months,"₹ 6,000 - 8,000 "
Subject Matter Expert (SME),CloudBird Digital Private Limited,Work from home,3 Months,"₹ 8,000 "
Software Developer – AI Agent Systems,Pehchaan AI Technologies,Work from home,6 Months,"₹ 10,000 - 15,000 "
Software Development,StoryMirror Infotech Private Limited,Mumbai,4 Months,"₹ 10,000 - 40,000 "
Machine Learning,MentorBoxx,Work from home,2 Months,"₹ 10,000 "
Digital Marketing,MentorBoxx,"Chennai, Coimbatore, Delhi, Gurgaon, Lucknow, Patna, Pune, Ranchi, Hyderabad, Mumbai, Varanasi, Jaipur, Noida, Bangalore, Andhra Tharhi",2 Months,"₹ 10,000 "
Data Science,MentorBoxx,Work from home,1 Month,"₹ 10,000 "
Artificial Intelligence (AI),Nimoy.ai,Work from home,3 Months,"₹ 10,000 - 15,000 "
Search Engine Optimization (SEO),UnleashX,Gurgaon,3 Months,"₹ 15,000 - 17,000 "
Quality Assurance (Business & Technology),Solvitude,Work from home,2 Months,"₹ 3,000 - 7,000 "
Project Management,Pawzz Foundation,Work from home,1 Month,"₹ 1,500 - 15,000 "
AI Agent Development,Clink,Work from home,3 Months,"₹ 15,000 - 25,000 "
IT Consultant,Talent Corner HR Services,Mumbai,3 Months,"₹ 15,000 lump sum"
Financial Analyst,Zean Lithos And Company Private Limited,Work from home,2 Months,"₹ 9,000 - 12,000 "
Performance Marketing,Baweja Media,Work from home,6 Months,"₹ 8,000 - 10,000 "
Search Engine Optimization (SEO),Devlofox Technologies LLP,Delhi,4 Months,"₹ 2,000 "
Content Optimization,Bento Labs,Hyderabad,6 Months,"₹ 10,000 - 12,000 "
Marketing - Facebook & Google Ads,Rex Marketing,Mumbai,3 Months,"₹ 8,000 "
Machine Learning,NDFM Business World Pvt. Ltd.,Work from home,6 Weeks,"₹ 5,000 - 7,000 "
Market Research,I3RC Insights Private Limited,"Delhi, Noida",3 Months,"₹ 10,000 - 12,000 "
HR Talent Acquisition,Tata AIA Life Insurance,Mumbai,6 Months,"₹ 10,000 - 15,000 "
LLM (Large Language Model) Training,DeepThought Edutech Ventures Private Limited,Work from home,6 Months,"₹ 2,000 "
Digital Marketing,Bansal Hi-tech Systems Private Limited,Gurgaon,3 Months,"₹ 3,000 - 5,000 "
Business Research & Strategy,Ashish Sharma,Mumbai,3 Months,"₹ 12,000 - 15,000 "
Data Engineer,Talent Corner HR Services,Mumbai,3 Months,"₹ 15,000 lump sum"
Digital Marketing,Pernitty,Ahmedabad,2 Months,"₹ 8,000 - 12,000 "
Artificial Intelligence (AI),Settyl,Chennai,6 Months,"₹ 12,000 - 15,000 "
Video Editing/Making,Techways AI Technologies,Work from home,3 Months,"₹ 8,500 - 13,000 "
