Title,Company's Name,Location,Duration,Stipend
Web Developer,Tenet Mediaverse,Hyderabad,3 Months,"₹ 15,000 - 20,000 "
Shopify Web Developer,GigFloww,Work from home,2 Months,"₹ 1,000 - 5,000 "
Web Developer,Canberg Global Sourcing Private Limited,Kolkata,6 Months,"₹ 10,000 - 15,000 "
Web Developer,Interpret Media,Work from home,3 Months,"₹ 8,000 - 12,000 "
Web Developer,Maxgen Technologies Private Limited,Ahmedabad,3 Months,"₹ 7,000 - 12,000 "
Web Developer,Skyingskills Edutech Pvt. Ltd.,Delhi,6 Months,"₹ 5,000 - 10,000 "
